AFG,2019,0.655,Gender Inequality Index (GII)
AGO,2019,0.536,Gender Inequality Index (GII)
ALB,2019,0.181,Gender Inequality Index (GII)
ARE,2019,0.079,Gender Inequality Index (GII)
ARG,2019,0.328,Gender Inequality Index (GII)
ARM,2019,0.245,Gender Inequality Index (GII)
AUS,2019,0.097,Gender Inequality Index (GII)
AUT,2019,0.069,Gender Inequality Index (GII)
AZE,2019,0.323,Gender Inequality Index (GII)
BDI,2019,0.504,Gender Inequality Index (GII)
BEL,2019,0.043,Gender Inequality Index (GII)
BEN,2019,0.612,Gender Inequality Index (GII)
BFA,2019,0.594,Gender Inequality Index (GII)
BGD,2019,0.537,Gender Inequality Index (GII)
BGR,2019,0.206,Gender Inequality Index (GII)
BHR,2019,0.212,Gender Inequality Index (GII)
BHS,2019,0.341,Gender Inequality Index (GII)
BIH,2019,0.149,Gender Inequality Index (GII)
BLR,2019,0.118,Gender Inequality Index (GII)
BLZ,2019,0.415,Gender Inequality Index (GII)
BOL,2019,0.417,Gender Inequality Index (GII)
BRA,2019,0.408,Gender Inequality Index (GII)
BRB,2019,0.252,Gender Inequality Index (GII)
BRN,2019,0.255,Gender Inequality Index (GII)
BTN,2019,0.421,Gender Inequality Index (GII)
BWA,2019,0.465,Gender Inequality Index (GII)
CAF,2019,0.68,Gender Inequality Index (GII)
CAN,2019,0.08,Gender Inequality Index (GII)
CHE,2019,0.025,Gender Inequality Index (GII)
CHL,2019,0.247,Gender Inequality Index (GII)
CHN,2019,0.168,Gender Inequality Index (GII)
CIV,2019,0.638,Gender Inequality Index (GII)
CMR,2019,0.56,Gender Inequality Index (GII)
COD,2019,0.617,Gender Inequality Index (GII)
COG,2019,0.57,Gender Inequality Index (GII)
COL,2019,0.428,Gender Inequality Index (GII)
CPV,2019,0.397,Gender Inequality Index (GII)
CRI,2019,0.288,Gender Inequality Index (GII)
CUB,2019,0.304,Gender Inequality Index (GII)
CYP,2019,0.086,Gender Inequality Index (GII)
CZE,2019,0.136,Gender Inequality Index (GII)
DEU,2019,0.084,Gender Inequality Index (GII)
DNK,2019,0.038,Gender Inequality Index (GII)
DOM,2019,0.455,Gender Inequality Index (GII)
DZA,2019,0.429,Gender Inequality Index (GII)
ECU,2019,0.384,Gender Inequality Index (GII)
EGY,2019,0.449,Gender Inequality Index (GII)
ESP,2019,0.07,Gender Inequality Index (GII)
EST,2019,0.086,Gender Inequality Index (GII)
ETH,2019,0.517,Gender Inequality Index (GII)
FIN,2019,0.047,Gender Inequality Index (GII)
FJI,2019,0.37,Gender Inequality Index (GII)
FRA,2019,0.049,Gender Inequality Index (GII)
GAB,2019,0.525,Gender Inequality Index (GII)
GBR,2019,0.118,Gender Inequality Index (GII)
GEO,2019,0.331,Gender Inequality Index (GII)
GHA,2019,0.538,Gender Inequality Index (GII)
GMB,2019,0.612,Gender Inequality Index (GII)
GRC,2019,0.116,Gender Inequality Index (GII)
GTM,2019,0.479,Gender Inequality Index (GII)
GUY,2019,0.462,Gender Inequality Index (GII)
HND,2019,0.423,Gender Inequality Index (GII)
HRV,2019,0.116,Gender Inequality Index (GII)
HTI,2019,0.636,Gender Inequality Index (GII)
HUN,2019,0.233,Gender Inequality Index (GII)
IDN,2019,0.48,Gender Inequality Index (GII)
IND,2019,0.488,Gender Inequality Index (GII)
IRL,2019,0.093,Gender Inequality Index (GII)
IRN,2019,0.459,Gender Inequality Index (GII)
IRQ,2019,0.577,Gender Inequality Index (GII)
ISL,2019,0.058,Gender Inequality Index (GII)
ISR,2019,0.109,Gender Inequality Index (GII)
ITA,2019,0.069,Gender Inequality Index (GII)
JAM,2019,0.396,Gender Inequality Index (GII)
JOR,2019,0.45,Gender Inequality Index (GII)
JPN,2019,0.094,Gender Inequality Index (GII)
KAZ,2019,0.19,Gender Inequality Index (GII)
KEN,2019,0.518,Gender Inequality Index (GII)
KGZ,2019,0.369,Gender Inequality Index (GII)
KHM,2019,0.474,Gender Inequality Index (GII)
KOR,2019,0.064,Gender Inequality Index (GII)
KWT,2019,0.242,Gender Inequality Index (GII)
LAO,2019,0.459,Gender Inequality Index (GII)
LBN,2019,0.411,Gender Inequality Index (GII)
LBR,2019,0.65,Gender Inequality Index (GII)
LBY,2019,0.252,Gender Inequality Index (GII)
LCA,2019,0.401,Gender Inequality Index (GII)
LKA,2019,0.401,Gender Inequality Index (GII)
LSO,2019,0.553,Gender Inequality Index (GII)
LTU,2019,0.124,Gender Inequality Index (GII)
LUX,2019,0.065,Gender Inequality Index (GII)
LVA,2019,0.176,Gender Inequality Index (GII)
MAR,2019,0.454,Gender Inequality Index (GII)
MDA,2019,0.204,Gender Inequality Index (GII)
MDV,2019,0.369,Gender Inequality Index (GII)
MEX,2019,0.322,Gender Inequality Index (GII)
MKD,2019,0.143,Gender Inequality Index (GII)
